regiao_res,regiao_int,mes,internacoes,evasao_regional
10ª Região - PB,10ª Região - PB,1,425,False
10ª Região - PB,10ª Região - PB,2,405,False
10ª Região - PB,10ª Região - PB,3,500,False
10ª Região - PB,10ª Região - PB,4,455,False
10ª Região - PB,10ª Região - PB,5,503,False
10ª Região - PB,10ª Região - PB,6,444,False
10ª Região - PB,10ª Região - PB,7,487,False
10ª Região - PB,10ª Região - PB,8,480,False
10ª Região - PB,10ª Região - PB,9,504,False
10ª Região - PB,10ª Região - PB,10,479,False
10ª Região - PB,10ª Região - PB,11,404,False
10ª Região - PB,10ª Região - PB,12,406,False
10ª Região - PB,13ª Região - PB,2,5,True
10ª Região - PB,13ª Região - PB,3,8,True
10ª Região - PB,13ª Região - PB,4,5,True
10ª Região - PB,13ª Região - PB,5,8,True
10ª Região - PB,13ª Região - PB,6,10,True
10ª Região - PB,13ª Região - PB,7,8,True
10ª Região - PB,13ª Região - PB,8,4,True
10ª Região - PB,13ª Região - PB,9,6,True
10ª Região - PB,13ª Região - PB,10,5,True
10ª Região - PB,13ª Região - PB,11,3,True
10ª Região - PB,14ª Região - PB,5,1,True
10ª Região - PB,14ª Região - PB,10,2,True
10ª Região - PB,16ª Região - PB,1,27,True
10ª Região - PB,16ª Região - PB,2,27,True
10ª Região - PB,16ª Região - PB,3,37,True
10ª Região - PB,16ª Região - PB,4,21,True
10ª Região - PB,16ª Região - PB,5,34,True
10ª Região - PB,16ª Região - PB,6,32,True
10ª Região - PB,16ª Região - PB,7,36,True
10ª Região - PB,16ª Região - PB,8,40,True
10ª Região - PB,16ª Região - PB,9,22,True
10ª Região - PB,16ª Região - PB,10,40,True
10ª Região - PB,16ª Região - PB,11,33,True
10ª Região - PB,16ª Região - PB,12,17,True
10ª Região - PB,1ª Região Mata Atlântica - PB,1,31,True
10ª Região - PB,1ª Região Mata Atlântica - PB,2,52,True
10ª Região - PB,1ª Região Mata Atlântica - PB,3,49,True
10ª Região - PB,1ª Região Mata Atlântica - PB,4,34,True
10ª Região - PB,1ª Região Mata Atlântica - PB,5,54,True
10ª Região - PB,1ª Região Mata Atlântica - PB,6,63,True
10ª Região - PB,1ª Região Mata Atlântica - PB,7,40,True
10ª Região - PB,1ª Região Mata Atlântica - PB,8,44,True
10ª Região - PB,1ª Região Mata Atlântica - PB,9,37,True
10ª Região - PB,1ª Região Mata Atlântica - PB,10,51,True
10ª Região - PB,1ª Região Mata Atlântica - PB,11,49,True
10ª Região - PB,1ª Região Mata Atlântica - PB,12,56,True
10ª Região - PB,4ª Região - PB,9,1,True
10ª Região - PB,5ª Região - PB,1,1,True
10ª Região - PB,5ª Região - PB,6,1,True
10ª Região - PB,6ª Região - PB,1,29,True
10ª Região - PB,6ª Região - PB,2,21,True
10ª Região - PB,6ª Região - PB,3,40,True
10ª Região - PB,6ª Região - PB,4,36,True
10ª Região - PB,6ª Região - PB,5,33,True
10ª Região - PB,6ª Região - PB,6,34,True
10ª Região - PB,6ª Região - PB,7,50,True
10ª Região - PB,6ª Região - PB,8,41,True
10ª Região - PB,6ª Região - PB,9,40,True
10ª Região - PB,6ª Região - PB,10,64,True
10ª Região - PB,6ª Região - PB,11,41,True
10ª Região - PB,6ª Região - PB,12,32,True
10ª Região - PB,7ª Região - PB,2,1,True
10ª Região - PB,7ª Região - PB,3,1,True
10ª Região - PB,7ª Região - PB,4,1,True
10ª Região - PB,7ª Região - PB,5,1,True
10ª Região - PB,7ª Região - PB,8,1,True
10ª Região - PB,7ª Região - PB,9,1,True
10ª Região - PB,7ª Região - PB,10,1,True
10ª Região - PB,8ª Região - PB,1,2,True
10ª Região - PB,8ª Região - PB,2,6,True
10ª Região - PB,8ª Região - PB,3,11,True
10ª Região - PB,8ª Região - PB,4,5,True
10ª Região - PB,8ª Região - PB,5,4,True
10ª Região - PB,8ª Região - PB,6,2,True
10ª Região - PB,8ª Região - PB,7,2,True
10ª Região - PB,8ª Região - PB,8,4,True
10ª Região - PB,8ª Região - PB,9,6,True
10ª Região - PB,8ª Região - PB,10,3,True
10ª Região - PB,9ª Região - PB,1,4,True
10ª Região - PB,9ª Região - PB,2,7,True
10ª Região - PB,9ª Região - PB,3,8,True
10ª Região - PB,9ª Região - PB,4,9,True
10ª Região - PB,9ª Região - PB,5,7,True
10ª Região - PB,9ª Região - PB,6,4,True
10ª Região - PB,9ª Região - PB,7,2,True
