codigo_municipio,nome_municipio,codigo_regiao_saude,nome_regiao_saude
250010,Agua Branca,25011,11ª Região - PB
250020,Aguiar,25007,7ª Região - PB
250030,Alagoa Grande,25003,3ª Região - PB
250040,Alagoa Nova,25003,3ª Região - PB
250050,Alagoinha,25002,2ª Região - PB
250053,Alcantil,25015,15ª Região - PB
250057,Algodao De Jandaira,25003,3ª Região - PB
250060,Alhandra,25001,1ª Região Mata Atlântica - PB
250070,Sao Joao Do Rio Do Peixe,25009,9ª Região - PB
250073,Amparo,25005,5ª Região - PB
250077,Aparecida,25010,10ª Região - PB
250080,Aracagi,25002,2ª Região - PB
250090,Arara,25003,3ª Região - PB
250100,Araruna,25002,2ª Região - PB
250110,Areia,25003,3ª Região - PB
250115,Areia De Baraunas,25006,6ª Região - PB
250120,Areial,25003,3ª Região - PB
250130,Aroeiras,25015,15ª Região - PB
250135,Assuncao,25016,16ª Região - PB
250140,Baia Da Traicao,25014,14ª Região - PB
250150,Bananeiras,25002,2ª Região - PB
250153,Barauna,25004,4ª Região - PB
250157,Barra De Santana,25015,15ª Região - PB
250160,Barra De Santa Rosa,25004,4ª Região - PB
250170,Barra De Sao Miguel,25015,15ª Região - PB
250180,Bayeux,25001,1ª Região Mata Atlântica - PB
250190,Belem,25002,2ª Região - PB
250200,Belem Do Brejo Do Cruz,25008,8ª Região - PB
250205,Bernardino Batista,25009,9ª Região - PB
250210,Boa Ventura,25007,7ª Região - PB
250215,Boa Vista,25016,16ª Região - PB
250220,Bom Jesus,25009,9ª Região - PB
250230,Bom Sucesso,25008,8ª Região - PB
250240,Bonito De Santa Fe,25009,9ª Região - PB
250250,Boqueirao,25015,15ª Região - PB
250260,Igaracy,25007,7ª Região - PB
250270,Borborema,25002,2ª Região - PB
250280,Brejo Do Cruz,25008,8ª Região - PB
250290,Brejo Dos Santos,25008,8ª Região - PB
250300,Caapora,25001,1ª Região Mata Atlântica - PB
250310,Cabaceiras,25015,15ª Região - PB
250320,Cabedelo,25001,1ª Região Mata Atlântica - PB
250330,Cachoeira Dos Indios,25009,9ª Região - PB
250340,Cacimba De Areia,25006,6ª Região - PB
250350,Cacimba De Dentro,25002,2ª Região - PB
250355,Cacimbas,25006,6ª Região - PB
250360,Caicara,25002,2ª Região - PB
250370,Cajazeiras,25009,9ª Região - PB
250375,Cajazeirinhas,25013,13ª Região - PB
250380,Caldas Brandao,25012,12ª Região - PB
250390,Camalau,25005,5ª Região - PB
250400,Campina Grande,25016,16ª Região - PB
250403,Capim,25014,14ª Região - PB
250407,Caraubas,25005,5ª Região - PB
250410,Carrapateira,25009,9ª Região - PB
250415,Casserengue,25002,2ª Região - PB
250420,Catingueira,25006,6ª Região - PB
250430,Catole Do Rocha,25008,8ª Região - PB
250435,Caturite,25015,15ª Região - PB
250440,Conceicao,25007,7ª Região - PB
250450,Condado,25006,6ª Região - PB
250460,Conde,25001,1ª Região Mata Atlântica - PB
250470,Congo,25005,5ª Região - PB
250480,Coremas,25007,7ª Região - PB
250485,Coxixola,25005,5ª Região - PB
250490,Cruz Do Espirito Santo,25001,1ª Região Mata Atlântica - PB
250500,Cubati,25004,4ª Região - PB
250510,Cuite,25004,4ª Região - PB
250520,Cuitegi,25002,2ª Região - PB
250523,Cuite De Mamanguape,25014,14ª Região - PB
250527,Curral De Cima,25014,14ª Região - PB
250530,Curral Velho,25007,7ª Região - PB
250535,Damiao,25004,4ª Região - PB
250540,Desterro,25006,6ª Região - PB
250550,Vista Serrana,25006,6ª Região - PB
250560,Diamante,25007,7ª Região - PB
250570,Dona Ines,25002,2ª Região - PB
250580,Duas Estradas,25002,2ª Região - PB
250590,Emas,25006,6ª Região - PB
250600,Esperanca,25003,3ª Região - PB
250610,Fagundes,25016,16ª Região - PB
250620,Frei Martinho,25004,4ª Região - PB
