regiao_res,internacoes_residentes,internacoes_fora_da_regiao,taxa_evasao_pct
3ª Região - PB,10815,9143,84.5
12ª Região - PB,10420,7479,71.8
15ª Região - PB,9540,6826,71.6
7ª Região - PB,8919,5029,56.4
11ª Região - PB,4280,2329,54.4
2ª Região - PB,16531,8986,54.4
4ª Região - PB,7075,3837,54.2
14ª Região - PB,10095,5249,52.0
5ª Região - PB,8458,3592,42.5
13ª Região - PB,4277,1475,34.5
8ª Região - PB,7592,2544,33.5
6ª Região - PB,14273,3474,24.3
10ª Região - PB,7084,1592,22.5
9ª Região - PB,13385,2892,21.6
16ª Região - PB,42305,1753,4.1
1ª Região Mata Atlântica - PB,81574,1433,1.8
