cod_ibge,nome_municipio,uf,populacao,ano_referencia
1100015,Alta Floresta D'Oeste,RO,22787,2025
1100023,Ariquemes,RO,109170,2025
1100031,Cabixi,RO,5664,2025
1100049,Cacoal,RO,98280,2025
1100056,Cerejeiras,RO,16966,2025
1100064,Colorado do Oeste,RO,16508,2025
1100072,Corumbiara,RO,7968,2025
1100080,Costa Marques,RO,13510,2025
1100098,Espigão D'Oeste,RO,32842,2025
1100106,Guajará-Mirim,RO,43594,2025
1100114,Jaru,RO,55682,2025
1100122,Ji-Paraná,RO,140101,2025
1100130,Machadinho D'Oeste,RO,34149,2025
1100148,Nova Brasilândia D'Oeste,RO,16374,2025
1100155,Ouro Preto do Oeste,RO,38684,2025
1100189,Pimenta Bueno,RO,39220,2025
1100205,Porto Velho,RO,517709,2025
1100254,Presidente Médici,RO,20443,2025
1100262,Rio Crespo,RO,3767,2025
1100288,Rolim de Moura,RO,62959,2025
1100296,Santa Luzia D'Oeste,RO,7837,2025
1100304,Vilhena,RO,109651,2025
1100320,São Miguel do Guaporé,RO,22305,2025
1100338,Nova Mamoré,RO,28701,2025
1100346,Alvorada D'Oeste,RO,13720,2025
1100379,Alto Alegre dos Parecis,RO,12237,2025
1100403,Alto Paraíso,RO,17467,2025
1100452,Buritis,RO,30649,2025
1100502,Novo Horizonte do Oeste,RO,7972,2025
1100601,Cacaulândia,RO,4292,2025
1100700,Campo Novo de Rondônia,RO,9095,2025
1100809,Candeias do Jamari,RO,24313,2025
1100908,Castanheiras,RO,3450,2025
1100924,Chupinguaia,RO,10191,2025
1100940,Cujubim,RO,15877,2025
1101005,Governador Jorge Teixeira,RO,8340,2025
1101104,Itapuã do Oeste,RO,9228,2025
1101203,Ministro Andreazza,RO,6519,2025
1101302,Mirante da Serra,RO,9657,2025
1101401,Monte Negro,RO,12168,2025
1101435,Nova União,RO,6541,2025
1101450,Parecis,RO,4372,2025
1101468,Pimenteiras do Oeste,RO,2309,2025
1101476,Primavera de Rondônia,RO,3268,2025
1101484,São Felipe D'Oeste,RO,5588,2025
1101492,São Francisco do Guaporé,RO,17557,2025
1101500,Seringueiras,RO,12965,2025
1101559,Teixeirópolis,RO,4521,2025
1101609,Theobroma,RO,8459,2025
1101708,Urupá,RO,11314,2025
1101757,Vale do Anari,RO,8220,2025
1101807,Vale do Paraíso,RO,6790,2025
1200013,Acrelândia,AC,14712,2025
1200054,Assis Brasil,AC,8648,2025
1200104,Brasiléia,AC,28028,2025
1200138,Bujari,AC,13928,2025
1200179,Capixaba,AC,10981,2025
1200203,Cruzeiro do Sul,AC,98916,2025
1200252,Epitaciolândia,AC,19874,2025
1200302,Feijó,AC,37764,2025
1200328,Jordão,AC,9884,2025
1200336,Mâncio Lima,AC,20479,2025
1200344,Manoel Urbano,AC,12923,2025
1200351,Marechal Thaumaturgo,AC,18057,2025
1200385,Plácido de Castro,AC,17107,2025
1200393,Porto Walter,AC,11333,2025
1200401,Rio Branco,AC,389001,2025
1200427,Rodrigues Alves,AC,15560,2025
1200435,Santa Rosa do Purus,AC,7217,2025
1200450,Senador Guiomard,AC,22402,2025
1200500,Sena Madureira,AC,44049,2025
1200609,Tarauacá,AC,46816,2025
1200708,Xapuri,AC,19170,2025
1200807,Porto Acre,AC,17523,2025
1300029,Alvarães,AM,16806,2025
1300060,Amaturá,AM,11533,2025
1300086,Anamã,AM,9981,2025
1300102,Anori,AM,18056,2025
1300144,Apuí,AM,21781,2025
1300201,Atalaia do Norte,AM,15889,2025
1300300,Autazes,AM,45960,2025
1300409,Barcelos,AM,18210,2025
1300508,Barreirinha,AM,33722,2025
1300607,Benjamin Constant,AM,40908,2025
1300631,Beruri,AM,22495,2025
1300680,Boa Vista do Ramos,AM,26479,2025
1300706,Boca do Acre,AM,38792,2025
1300805,Borba,AM,34869,2025
1300839,Caapiranga,AM,14806,2025
1300904,Canutama,AM,18109,2025
1301001,Carauari,AM,31130,2025
1301100,Careiro,AM,32336,2025
1301159,Careiro da Várzea,AM,20324,2025
1301209,Coari,AM,73576,2025
1301308,Codajás,AM,24572,2025
1301407,Eirunepé,AM,35793,2025
1301506,Envira,AM,17985,2025
1301605,Fonte Boa,AM,28227,2025
1301654,Guajará,AM,14344,2025
1301704,Humaitá,AM,63454,2025
1301803,Ipixuna,AM,25629,2025
1301852,Iranduba,AM,68862,2025
1301902,Itacoatiara,AM,113917,2025
1301951,Itamarati,AM,11956,2025
1302009,Itapiranga,AM,10955,2025
1302108,Japurá,AM,9420,2025
1302207,Juruá,AM,11093,2025
1302306,Jutaí,AM,28202,2025
1302405,Lábrea,AM,49469,2025
1302504,Manacapuru,AM,111751,2025
