cod_mun,nome_mun,lon,lat
250010,Água Branca,-37.662704,-7.470275
250020,Aguiar,-38.213902,-7.074109
250030,Alagoa Grande,-35.602558,-7.058849
250040,Alagoa Nova,-35.76668,-7.06162
250050,Alagoinha,-35.522234,-6.961789
250053,Alcantil,-36.046818,-7.690161
250057,Algodão de Jandaíra,-35.97224,-6.887998
250060,Alhandra,-34.933087,-7.34862
250070,São João do Rio do Peixe,-38.417994,-6.732663
250073,Amparo,-37.039335,-7.560899
250077,Aparecida,-38.068022,-6.789406
250080,Araçagi,-35.354153,-6.861182
250090,Arara,-35.731,-6.858373
250100,Araruna,-35.755238,-6.524424
250110,Areia,-35.705347,-6.95031
250115,Areia de Baraúnas,-36.961601,-7.11186
250120,Areial,-35.93114,-7.049437
250130,Aroeiras,-35.691144,-7.535322
250135,Assunção,-36.710582,-7.073582
250140,Baía da Traição,-34.988564,-6.663337
250150,Bananeiras,-35.596183,-6.700153
250153,Baraúna,-36.261205,-6.620636
250157,Barra de Santana,-35.965834,-7.564922
250160,Barra de Santa Rosa,-36.075996,-6.791283
250170,Barra de São Miguel,-36.286379,-7.700376
250180,Bayeux,-34.921495,-7.131784
250190,Belém,-35.498175,-6.705379
250200,Belém do Brejo do Cruz,-37.366109,-6.148949
250205,Bernardino Batista,-38.555874,-6.481276
250210,Boa Ventura,-38.188217,-7.431088
250215,Boa Vista,-36.218682,-7.271706
250220,Bom Jesus,-38.630349,-6.822263
250230,Bom Sucesso,-37.947492,-6.47487
250240,Bonito de Santa Fé,-38.478309,-7.289253
250250,Boqueirão,-36.149745,-7.506586
250260,Igaracy,-38.124182,-7.155238
250270,Borborema,-35.600912,-6.793968
250280,Brejo do Cruz,-37.497097,-6.329781
250290,Brejo dos Santos,-37.846404,-6.398408
250300,Caaporã,-34.919133,-7.486751
250310,Cabaceiras,-36.298997,-7.451143
250320,Cabedelo,-34.845019,-7.037151
250330,Cachoeira dos Índios,-38.69556,-6.945801
250340,Cacimba de Areia,-37.173566,-7.138683
250350,Cacimba de Dentro,-35.81357,-6.624624
250355,Cacimbas,-37.090384,-7.20948
250360,Caiçara,-35.411665,-6.606448
250370,Cajazeiras,-38.541079,-6.919817
250375,Cajazeirinhas,-37.80339,-6.959016
250380,Caldas Brandão,-35.339106,-7.120656
250390,Camalaú,-36.79698,-7.899711
250400,Campina Grande,-35.965568,-7.263469
250403,Capim,-35.168192,-6.901083
250407,Caraúbas,-36.502448,-7.77416
250410,Carrapateira,-38.337624,-7.044481
250415,Casserengue,-35.842934,-6.755095
250420,Catingueira,-37.590719,-7.138647
250430,Catolé do Rocha,-37.704412,-6.321308
250435,Caturité,-36.057779,-7.415875
250440,Conceição,-38.528387,-7.503789
250450,Condado,-37.615289,-6.905197
250460,Conde,-34.860429,-7.28186
250470,Congo,-36.646461,-7.795191
250480,Coremas,-37.975148,-7.05041
250485,Coxixola,-36.634361,-7.645214
250490,Cruz do Espírito Santo,-35.102773,-7.149011
250500,Cubati,-36.326716,-6.860634
250510,Cuité,-36.078381,-6.548637
250520,Cuitegi,-35.523205,-6.899147
250523,Cuité de Mamanguape,-35.251744,-6.906001
250527,Curral de Cima,-35.28518,-6.733893
250530,Curral Velho,-38.168094,-7.537925
250535,Damião,-35.930321,-6.643425
250540,Desterro,-37.092839,-7.29996
250550,Vista Serrana,-37.575359,-6.75702
250560,Diamante,-38.315315,-7.423793
250570,Dona Inês,-35.647842,-6.609168
250580,Duas Estradas,-35.395968,-6.720555
250590,Emas,-37.745174,-7.086596
250600,Esperança,-35.890086,-6.998469
250610,Fagundes,-35.779998,-7.390949
250620,Frei Martinho,-36.449466,-6.414407
