cod_municipio,nome_municipio,populacao,porte,recebidos_de_fora,enviados_para_fora,saldo,taxa_evasao_pct
250750,João Pessoa,897633,Acima de 100 mil,43624,1863,41761,3.616633017549309
250400,Campina Grande,443911,Acima de 100 mil,32817,584,32233,1.7793485877944
251080,Patos,108104,Acima de 100 mil,11147,1205,9942,17.92088042831648
250370,Cajazeiras,66585,50 a 100 mil,4573,847,3726,16.673228346456693
250890,Mamanguape,46966,20 a 50 mil,4308,1556,2752,47.4390243902439
250630,Guarabira,60057,50 a 100 mil,4267,1677,2590,47.3728813559322
251620,Sousa,70066,50 a 100 mil,2862,947,1915,20.993127909554424
250430,Catolé do Rocha,32288,20 a 50 mil,2444,559,1885,23.252911813643927
251210,Pombal,33866,20 a 50 mil,2504,737,1767,30.143149284253578
251140,Picuí,18862,10 a 20 mil,2299,574,1725,44.22187981510015
250690,Itabaiana,23558,20 a 50 mil,2316,809,1507,56.57342657342657
251130,Piancó,17088,10 a 20 mil,1852,473,1379,48.216106014271155
250970,Monteiro,33886,20 a 50 mil,1942,1018,924,31.942265453404456
251370,Santa Rita,160852,Acima de 100 mil,6507,5788,719,57.89736921076323
251650,Taperoá,14358,10 a 20 mil,1362,696,666,50.58139534883721
251250,Queimadas,50698,50 a 100 mil,1988,1794,194,63.61702127659574
250485,Coxixola,1888,Ate 10 mil,0,85,-85,100.0
251455,São José de Princesa,3323,Ate 10 mil,0,103,-103,100.0
251230,Princesa Isabel,21674,20 a 50 mil,321,424,-103,42.4
251065,Parari,1745,Ate 10 mil,0,105,-105,100.0
251260,Quixaba,1803,Ate 10 mil,0,106,-106,100.0
250530,Curral Velho,2316,Ate 10 mil,0,126,-126,100.0
250115,Areia de Baraúnas,2027,Ate 10 mil,0,127,-127,100.0
251465,São José do Brejo do Cruz,1750,Ate 10 mil,0,133,-133,100.0
251710,Várzea,2777,Ate 10 mil,0,133,-133,100.0
250057,Algodão de Jandaíra,3143,Ate 10 mil,0,140,-140,100.0
251470,São José do Sabugi,4283,Ate 10 mil,0,142,-142,100.0
251396,São Domingos,2624,Ate 10 mil,0,147,-147,100.0
251335,Santa Inês,3256,Ate 10 mil,0,156,-156,100.0
250410,Carrapateira,2365,Ate 10 mil,0,157,-157,100.0
250937,Mato Grosso,2584,Ate 10 mil,0,159,-159,100.0
251394,São Domingos do Cariri,2688,Ate 10 mil,0,161,-161,100.0
251740,Zabelê,2323,Ate 10 mil,0,161,-161,100.0
251560,Serra da Raiz,3156,Ate 10 mil,0,162,-162,100.0
250650,Gurjão,3352,Ate 10 mil,0,163,-163,100.0
250620,Frei Martinho,2911,Ate 10 mil,0,164,-164,100.0
251365,Joca Claudino,2607,Ate 10 mil,0,169,-169,100.0
251070,Passagem,2580,Ate 10 mil,0,171,-171,100.0
250073,Amparo,2328,Ate 10 mil,0,180,-180,100.0
250550,Vista Serrana,3772,Ate 10 mil,0,186,-186,100.0
250590,Emas,3036,Ate 10 mil,0,186,-186,100.0
251278,Riacho de Santo Antônio,2063,Ate 10 mil,0,190,-190,100.0
251590,Serraria,4754,Ate 10 mil,0,190,-190,100.0
250340,Cacimba de Areia,3344,Ate 10 mil,0,190,-190,100.0
251570,Serra Grande,3056,Ate 10 mil,0,196,-196,100.0
251350,Santana de Mangueira,5090,Ate 10 mil,0,199,-199,100.0
251276,Riachão do Poço,4989,Ate 10 mil,0,203,-203,100.0
251398,São Francisco,3176,Ate 10 mil,0,205,-205,100.0
251060,Ouro Velho,3000,Ate 10 mil,0,206,-206,100.0
250840,Lastro,3316,Ate 10 mil,0,211,-211,100.0
250580,Duas Estradas,3360,Ate 10 mil,0,213,-213,100.0
251675,Tenório,3082,Ate 10 mil,0,217,-217,100.0
250205,Bernardino Batista,3677,Ate 10 mil,0,218,-218,100.0
251050,Olivedos,3675,Ate 10 mil,0,220,-220,100.0
251100,Pedra Branca,3851,Ate 10 mil,0,221,-221,100.0
250375,Cajazeirinhas,2760,Ate 10 mil,0,222,-222,100.0
251274,Riachão,2945,Ate 10 mil,0,223,-223,100.0
251520,São Sebastião do Umbuzeiro,3382,Ate 10 mil,0,226,-226,100.0
250855,Logradouro,5107,Ate 10 mil,0,226,-226,100.0
251480,São José dos Cordeiros,3462,Ate 10 mil,0,230,-230,100.0
251385,Santo André,2708,Ate 10 mil,0,234,-234,100.0
250870,Mãe d'Água,3599,Ate 10 mil,0,235,-235,100.0
251275,Riachão do Bacamarte,4911,Ate 10 mil,0,242,-242,100.0
250960,Monte Horebe,4429,Ate 10 mil,0,244,-244,100.0
251207,Poço de José de Moura,4126,Ate 10 mil,0,244,-244,100.0
251720,Vieirópolis,4967,Ate 10 mil,0,246,-246,100.0
250230,Bom Sucesso,4720,Ate 10 mil,0,248,-248,90.84249084249085
250535,Damião,5141,Ate 10 mil,0,250,-250,100.0
250810,Lagoa,4489,Ate 10 mil,0,251,-251,100.0
251460,São José do Bonfim,3337,Ate 10 mil,0,251,-251,100.0
251410,São João do Tigre,4359,Ate 10 mil,0,252,-252,100.0
251170,Pilõezinhos,5539,Ate 10 mil,0,254,-254,100.0
251380,Santa Teresinha,4492,Ate 10 mil,0,255,-255,100.0
251030,Nova Palmeira,4359,Ate 10 mil,0,256,-256,100.0
250270,Borborema,4185,Ate 10 mil,0,259,-259,100.0
250200,Belém do Brejo do Cruz,6272,Ate 10 mil,1,261,-260,73.93767705382436
251593,Sertãozinho,5332,Ate 10 mil,0,266,-266,100.0
251430,São José de Caiana,4966,Ate 10 mil,0,271,-271,100.0
250210,Boa Ventura,5246,Ate 10 mil,0,272,-272,100.0
250310,Cabaceiras,5537,Ate 10 mil,0,272,-272,100.0
251203,Poço Dantas,3934,Ate 10 mil,0,273,-273,100.0
251615,Sossêgo,3476,Ate 10 mil,0,275,-275,100.0
251440,São José de Espinharas,4056,Ate 10 mil,0,280,-280,100.0
251400,São João do Cariri,4345,Ate 10 mil,0,283,-283,100.0
250420,Catingueira,4556,Ate 10 mil,0,283,-283,100.0
250220,Bom Jesus,2328,Ate 10 mil,0,283,-283,100.0
250933,Matinhas,4759,Ate 10 mil,0,286,-286,100.0
251300,Salgadinho,3435,Ate 10 mil,0,287,-287,100.0
250990,Natuba,8935,Ate 10 mil,0,289,-289,100.0
250660,Ibiara,5713,Ate 10 mil,0,289,-289,100.0
251392,São Bentinho,4490,Ate 10 mil,0,297,-297,100.0
251640,Tacima,7794,Ate 10 mil,0,299,-299,100.0
251630,Sumé,17852,10 a 20 mil,315,614,-299,51.68350168350168
250020,Aguiar,5026,Ate 10 mil,0,303,-303,100.0
251550,Serra Branca,14131,10 a 20 mil,205,508,-303,66.05981794538361
251020,Nova Olinda,5897,Ate 10 mil,0,308,-308,100.0
250407,Caraúbas,4067,Ate 10 mil,0,309,-309,100.0
250470,Congo,5124,Ate 10 mil,0,309,-309,100.0
250780,Junco do Seridó,7019,Ate 10 mil,0,312,-312,100.0
250190,Belém,16710,10 a 20 mil,402,716,-314,75.68710359408034
250435,Caturité,5544,Ate 10 mil,0,317,-317,100.0
251220,Prata,4032,Ate 10 mil,0,317,-317,100.0
