uf_destino,nome_mun_destino,internacoes,pct_do_total_fora
PE,Recife,1520,41.28
RN,Alexandria,858,23.3
RN,Natal,343,9.32
PE,Serra Talhada,161,4.37
PE,Goiana,112,3.04
PE,Paulista,72,1.96
CE,Aurora,66,1.79
CE,Fortaleza,59,1.6
PE,Afogados da Ingazeira,57,1.55
PE,Caruaru,48,1.3
RN,Mossoró,40,1.09
RN,Tenente Ananias,38,1.03
RN,Pau dos Ferros,28,0.76
PE,Itapetim,28,0.76
CE,Brejo Santo,22,0.6
PE,Arcoverde,20,0.54
PE,Jaboatão dos Guararapes,19,0.52
PE,Petrolina,16,0.43
PE,Moreno,15,0.41
RN,Parnamirim,14,0.38
PE,Limoeiro,11,0.3
RN,Santa Cruz,10,0.27
PE,Nazaré da Mata,10,0.27
RN,Caicó,8,0.22
CE,Juazeiro do Norte,8,0.22
PE,Palmares,8,0.22
PE,Surubim,7,0.19
PE,Vitória de Santo Antão,7,0.19
PE,Macaparana,7,0.19
CE,Barbalha,7,0.19
RN,Macaíba,6,0.16
PE,Cabo de Santo Agostinho,6,0.16
RN,São José de Mipibu,4,0.11
PE,Salgueiro,4,0.11
PE,Solidão,3,0.08
RN,Currais Novos,3,0.08
PE,São José do Egito,2,0.05
PE,Bezerros,2,0.05
CE,Crato,2,0.05
CE,Canindé,2,0.05
CE,Jaguaribe,2,0.05
CE,Ipaumirim,2,0.05
PE,Garanhuns,2,0.05
PE,Jataúba,2,0.05
PE,Brejinho,2,0.05
CE,Lavras da Mangabeira,1,0.03
CE,Limoeiro do Norte,1,0.03
CE,Várzea Alegre,1,0.03
PE,Lajedo,1,0.03
PE,Feira Nova,1,0.03
CE,Cedro,1,0.03
CE,Aracati,1,0.03
CE,Icó,1,0.03
PE,Paudalho,1,0.03
PE,Petrolândia,1,0.03
PE,Santa Cruz do Capibaribe,1,0.03
RN,Apodi,1,0.03
PE,Triunfo,1,0.03
RN,Assú,1,0.03
RN,Guamaré,1,0.03
RN,Rafael Godeiro,1,0.03
RN,Passa e Fica,1,0.03
RN,Serrinha dos Pintos,1,0.03
RN,Santo Antônio,1,0.03
