regiao,eixo,categoria,n,evadidos,taxa_evasao_pct,taxa_evasao_geral_regiao_pct,excesso_pp,n_min_ok
10ª Região - PB,ESPEC,01,2518,975,38.7,22.5,16.2,True
10ª Região - PB,ESPEC,02,1393,40,2.9,22.5,-19.6,True
10ª Região - PB,ESPEC,03,1945,323,16.6,22.5,-5.9,True
10ª Região - PB,ESPEC,05,18,18,100.0,22.5,77.5,False
10ª Região - PB,ESPEC,06,8,8,100.0,22.5,77.5,False
10ª Região - PB,ESPEC,07,1194,220,18.4,22.5,-4.0,True
10ª Região - PB,ESPEC,09,3,3,100.0,22.5,77.5,False
10ª Região - PB,ESPEC,10,5,5,100.0,22.5,77.5,False
11ª Região - PB,ESPEC,01,1508,977,64.8,54.4,10.4,True
11ª Região - PB,ESPEC,02,547,506,92.5,54.4,38.1,True
11ª Região - PB,ESPEC,03,1633,535,32.8,54.4,-21.7,True
11ª Região - PB,ESPEC,05,48,48,100.0,54.4,45.6,True
11ª Região - PB,ESPEC,07,542,261,48.2,54.4,-6.3,True
11ª Região - PB,ESPEC,09,2,2,100.0,54.4,45.6,False
12ª Região - PB,ESPEC,01,4208,3322,78.9,71.8,7.2,True
12ª Região - PB,ESPEC,02,1876,1169,62.3,71.8,-9.5,True
12ª Região - PB,ESPEC,03,3068,1846,60.2,71.8,-11.6,True
12ª Região - PB,ESPEC,04,1,1,100.0,71.8,28.2,False
12ª Região - PB,ESPEC,05,151,151,100.0,71.8,28.2,True
12ª Região - PB,ESPEC,06,20,20,100.0,71.8,28.2,False
12ª Região - PB,ESPEC,07,1029,903,87.8,71.8,16.0,True
12ª Região - PB,ESPEC,09,14,14,100.0,71.8,28.2,False
12ª Região - PB,ESPEC,10,6,6,100.0,71.8,28.2,False
12ª Região - PB,ESPEC,87,47,47,100.0,71.8,28.2,True
13ª Região - PB,ESPEC,01,1607,719,44.7,34.5,10.3,True
13ª Região - PB,ESPEC,02,621,274,44.1,34.5,9.6,True
13ª Região - PB,ESPEC,03,1629,260,16.0,34.5,-18.5,True
13ª Região - PB,ESPEC,04,1,1,100.0,34.5,65.5,False
13ª Região - PB,ESPEC,05,21,21,100.0,34.5,65.5,False
13ª Região - PB,ESPEC,07,383,185,48.3,34.5,13.8,True
13ª Região - PB,ESPEC,10,14,14,100.0,34.5,65.5,False
13ª Região - PB,ESPEC,87,1,1,100.0,34.5,65.5,False
14ª Região - PB,ESPEC,01,3629,2696,74.3,52.0,22.3,True
