regiao,ESPEC,tipo_evasao,n,pct_do_evadido_regiao
10ª Região - PB,01,Alta complexidade eletiva,388,24.4
10ª Região - PB,01,Demanda represada,345,21.7
10ª Região - PB,01,Não classificado,42,2.6
10ª Região - PB,01,Referência legítima,127,8.0
10ª Região - PB,01,Urgência cirúrgica sem retaguarda,73,4.6
10ª Região - PB,02,Evasão evitável,32,2.0
10ª Região - PB,02,Não classificado,8,0.5
10ª Região - PB,03,Evasão evitável,220,13.8
10ª Região - PB,03,Não classificado,96,6.0
10ª Região - PB,03,Referência legítima,7,0.4
10ª Região - PB,05,Não classificado,18,1.1
10ª Região - PB,06,Não classificado,8,0.5
10ª Região - PB,07,Evasão evitável,156,9.8
10ª Região - PB,07,Não classificado,63,4.0
10ª Região - PB,07,Referência legítima,1,0.1
10ª Região - PB,09,Não classificado,3,0.2
10ª Região - PB,10,Não classificado,5,0.3
11ª Região - PB,01,Alta complexidade eletiva,220,9.4
11ª Região - PB,01,Demanda represada,350,15.0
11ª Região - PB,01,Não classificado,40,1.7
11ª Região - PB,01,Referência legítima,62,2.7
11ª Região - PB,01,Urgência cirúrgica sem retaguarda,305,13.1
11ª Região - PB,02,Evasão evitável,485,20.8
11ª Região - PB,02,Não classificado,21,0.9
11ª Região - PB,03,Alta complexidade eletiva,10,0.4
11ª Região - PB,03,Evasão evitável,409,17.6
11ª Região - PB,03,Não classificado,113,4.9
11ª Região - PB,03,Referência legítima,3,0.1
11ª Região - PB,05,Não classificado,48,2.1
11ª Região - PB,07,Evasão evitável,193,8.3
11ª Região - PB,07,Não classificado,68,2.9
11ª Região - PB,09,Não classificado,2,0.1
12ª Região - PB,01,Alta complexidade eletiva,538,7.2
12ª Região - PB,01,Demanda represada,1391,18.6
12ª Região - PB,01,Não classificado,187,2.5
12ª Região - PB,01,Referência legítima,198,2.6
12ª Região - PB,01,Urgência cirúrgica sem retaguarda,1008,13.5
12ª Região - PB,02,Evasão evitável,1113,14.9
12ª Região - PB,02,Não classificado,56,0.7
12ª Região - PB,03,Alta complexidade eletiva,30,0.4
12ª Região - PB,03,Evasão evitável,1501,20.1
12ª Região - PB,03,Não classificado,302,4.0
12ª Região - PB,03,Referência legítima,13,0.2
12ª Região - PB,04,Não classificado,1,0.0
12ª Região - PB,05,Não classificado,151,2.0
12ª Região - PB,06,Não classificado,20,0.3
12ª Região - PB,07,Evasão evitável,723,9.7
12ª Região - PB,07,Não classificado,179,2.4
12ª Região - PB,07,Referência legítima,1,0.0
12ª Região - PB,09,Não classificado,14,0.2
12ª Região - PB,10,Não classificado,6,0.1
12ª Região - PB,87,Não classificado,47,0.6
13ª Região - PB,01,Alta complexidade eletiva,253,17.2
13ª Região - PB,01,Demanda represada,251,17.0
13ª Região - PB,01,Não classificado,23,1.6
13ª Região - PB,01,Referência legítima,115,7.8
13ª Região - PB,01,Urgência cirúrgica sem retaguarda,77,5.2
13ª Região - PB,02,Evasão evitável,248,16.8
13ª Região - PB,02,Não classificado,26,1.8
13ª Região - PB,03,Evasão evitável,184,12.5
13ª Região - PB,03,Não classificado,71,4.8
13ª Região - PB,03,Referência legítima,5,0.3
13ª Região - PB,04,Não classificado,1,0.1
13ª Região - PB,05,Não classificado,21,1.4
13ª Região - PB,07,Evasão evitável,126,8.5
13ª Região - PB,07,Não classificado,59,4.0
13ª Região - PB,10,Não classificado,14,0.9
13ª Região - PB,87,Não classificado,1,0.1
14ª Região - PB,01,Alta complexidade eletiva,346,6.6
14ª Região - PB,01,Demanda represada,1219,23.2
14ª Região - PB,01,Não classificado,158,3.0
14ª Região - PB,01,Referência legítima,159,3.0
14ª Região - PB,01,Urgência cirúrgica sem retaguarda,814,15.5
14ª Região - PB,02,Evasão evitável,473,9.0
14ª Região - PB,02,Não classificado,59,1.1
14ª Região - PB,03,Evasão evitável,1102,21.0
14ª Região - PB,03,Não classificado,226,4.3
14ª Região - PB,03,Referência legítima,24,0.5
14ª Região - PB,04,Não classificado,7,0.1
14ª Região - PB,05,Não classificado,151,2.9
14ª Região - PB,06,Não classificado,7,0.1
14ª Região - PB,07,Evasão evitável,357,6.8
14ª Região - PB,07,Não classificado,106,2.0
14ª Região - PB,07,Referência legítima,1,0.0
14ª Região - PB,09,Alta complexidade eletiva,4,0.1
14ª Região - PB,09,Não classificado,27,0.5
14ª Região - PB,10,Não classificado,8,0.2
14ª Região - PB,87,Não classificado,1,0.0
15ª Região - PB,01,Alta complexidade eletiva,490,7.2
15ª Região - PB,01,Demanda represada,1509,22.1
15ª Região - PB,01,Não classificado,117,1.7
15ª Região - PB,01,Referência legítima,126,1.8
15ª Região - PB,01,Urgência cirúrgica sem retaguarda,931,13.6
15ª Região - PB,02,Evasão evitável,1078,15.8
15ª Região - PB,02,Não classificado,23,0.3
15ª Região - PB,03,Alta complexidade eletiva,31,0.5
15ª Região - PB,03,Evasão evitável,1112,16.3
15ª Região - PB,03,Não classificado,247,3.6
15ª Região - PB,03,Referência legítima,5,0.1
15ª Região - PB,05,Não classificado,312,4.6
15ª Região - PB,06,Não classificado,1,0.0
15ª Região - PB,07,Evasão evitável,456,6.7
15ª Região - PB,07,Não classificado,251,3.7
15ª Região - PB,07,Referência legítima,2,0.0
15ª Região - PB,09,Não classificado,3,0.0
15ª Região - PB,10,Não classificado,1,0.0
15ª Região - PB,87,Não classificado,131,1.9
16ª Região - PB,01,Alta complexidade eletiva,177,10.1
16ª Região - PB,01,Demanda represada,304,17.3
16ª Região - PB,01,Não classificado,72,4.1
16ª Região - PB,01,Referência legítima,135,7.7
16ª Região - PB,01,Urgência cirúrgica sem retaguarda,61,3.5
16ª Região - PB,02,Evasão evitável,326,18.6
16ª Região - PB,03,Evasão evitável,344,19.6
16ª Região - PB,03,Não classificado,89,5.1
16ª Região - PB,03,Referência legítima,11,0.6
16ª Região - PB,05,Não classificado,36,2.1
16ª Região - PB,06,Não classificado,6,0.3
16ª Região - PB,07,Evasão evitável,150,8.6
16ª Região - PB,07,Não classificado,41,2.3
16ª Região - PB,10,Não classificado,1,0.1
1ª Região Mata Atlântica - PB,01,Alta complexidade eletiva,81,5.7
1ª Região Mata Atlântica - PB,01,Demanda represada,698,48.7
1ª Região Mata Atlântica - PB,01,Não classificado,3,0.2
1ª Região Mata Atlântica - PB,01,Referência legítima,1,0.1
1ª Região Mata Atlântica - PB,01,Urgência cirúrgica sem retaguarda,143,10.0
1ª Região Mata Atlântica - PB,02,Evasão evitável,79,5.5
1ª Região Mata Atlântica - PB,03,Evasão evitável,170,11.9
1ª Região Mata Atlântica - PB,03,Não classificado,67,4.7
1ª Região Mata Atlântica - PB,05,Não classificado,27,1.9
1ª Região Mata Atlântica - PB,07,Evasão evitável,155,10.8
1ª Região Mata Atlântica - PB,07,Não classificado,5,0.3
1ª Região Mata Atlântica - PB,87,Não classificado,4,0.3
2ª Região - PB,01,Alta complexidade eletiva,743,8.3
2ª Região - PB,01,Demanda represada,1684,18.7
2ª Região - PB,01,Não classificado,252,2.8
2ª Região - PB,01,Referência legítima,319,3.5
2ª Região - PB,01,Urgência cirúrgica sem retaguarda,1413,15.7
2ª Região - PB,02,Evasão evitável,940,10.5
2ª Região - PB,02,Não classificado,83,0.9
2ª Região - PB,03,Alta complexidade eletiva,20,0.2
2ª Região - PB,03,Evasão evitável,1729,19.2
2ª Região - PB,03,Não classificado,379,4.2
2ª Região - PB,03,Referência legítima,16,0.2
2ª Região - PB,04,Não classificado,9,0.1
2ª Região - PB,05,Não classificado,293,3.3
2ª Região - PB,06,Não classificado,16,0.2
2ª Região - PB,07,Evasão evitável,813,9.0
2ª Região - PB,07,Não classificado,243,2.7
2ª Região - PB,09,Alta complexidade eletiva,2,0.0
2ª Região - PB,09,Não classificado,21,0.2
2ª Região - PB,10,Não classificado,5,0.1
2ª Região - PB,87,Não classificado,6,0.1
3ª Região - PB,01,Alta complexidade eletiva,495,5.4
3ª Região - PB,01,Demanda represada,1447,15.8
3ª Região - PB,01,Não classificado,172,1.9
3ª Região - PB,01,Referência legítima,168,1.8
3ª Região - PB,01,Urgência cirúrgica sem retaguarda,1325,14.5
3ª Região - PB,02,Evasão evitável,1581,17.3
3ª Região - PB,02,Não classificado,12,0.1
3ª Região - PB,03,Alta complexidade eletiva,47,0.5
3ª Região - PB,03,Evasão evitável,1710,18.7
3ª Região - PB,03,Não classificado,402,4.4
3ª Região - PB,03,Referência legítima,16,0.2
3ª Região - PB,05,Não classificado,357,3.9
3ª Região - PB,06,Não classificado,2,0.0
3ª Região - PB,07,Alta complexidade eletiva,1,0.0
3ª Região - PB,07,Evasão evitável,905,9.9
3ª Região - PB,07,Não classificado,302,3.3
3ª Região - PB,07,Referência legítima,4,0.0
3ª Região - PB,87,Não classificado,197,2.2
4ª Região - PB,01,Alta complexidade eletiva,340,8.9
4ª Região - PB,01,Demanda represada,667,17.4
4ª Região - PB,01,Não classificado,114,3.0
4ª Região - PB,01,Referência legítima,60,1.6
4ª Região - PB,01,Urgência cirúrgica sem retaguarda,619,16.1
4ª Região - PB,02,Evasão evitável,657,17.1
4ª Região - PB,02,Não classificado,7,0.2
4ª Região - PB,03,Alta complexidade eletiva,35,0.9
4ª Região - PB,03,Evasão evitável,601,15.7
4ª Região - PB,03,Não classificado,110,2.9
4ª Região - PB,03,Referência legítima,5,0.1
4ª Região - PB,05,Não classificado,98,2.6
4ª Região - PB,07,Alta complexidade eletiva,3,0.1
4ª Região - PB,07,Evasão evitável,320,8.3
4ª Região - PB,07,Não classificado,150,3.9
4ª Região - PB,10,Não classificado,1,0.0
4ª Região - PB,87,Não classificado,50,1.3
5ª Região - PB,01,Alta complexidade eletiva,404,11.2
5ª Região - PB,01,Demanda represada,606,16.9
5ª Região - PB,01,Não classificado,126,3.5
5ª Região - PB,01,Referência legítima,99,2.8
5ª Região - PB,01,Urgência cirúrgica sem retaguarda,671,18.7
5ª Região - PB,02,Evasão evitável,281,7.8
5ª Região - PB,02,Não classificado,5,0.1
5ª Região - PB,03,Alta complexidade eletiva,42,1.2
5ª Região - PB,03,Evasão evitável,597,16.6
5ª Região - PB,03,Não classificado,165,4.6
5ª Região - PB,03,Referência legítima,17,0.5
5ª Região - PB,05,Não classificado,123,3.4
5ª Região - PB,07,Evasão evitável,255,7.1
5ª Região - PB,07,Não classificado,143,4.0
5ª Região - PB,10,Não classificado,1,0.0
5ª Região - PB,87,Não classificado,57,1.6
6ª Região - PB,01,Alta complexidade eletiva,410,11.8
6ª Região - PB,01,Demanda represada,1109,31.9
6ª Região - PB,01,Não classificado,64,1.8
6ª Região - PB,01,Referência legítima,150,4.3
6ª Região - PB,01,Urgência cirúrgica sem retaguarda,213,6.1
6ª Região - PB,02,Evasão evitável,58,1.7
6ª Região - PB,02,Não classificado,1,0.0
6ª Região - PB,03,Alta complexidade eletiva,7,0.2
6ª Região - PB,03,Evasão evitável,571,16.4
6ª Região - PB,03,Não classificado,172,5.0
6ª Região - PB,03,Referência legítima,17,0.5
6ª Região - PB,04,Não classificado,2,0.1
6ª Região - PB,05,Não classificado,271,7.8
6ª Região - PB,06,Não classificado,5,0.1
6ª Região - PB,07,Alta complexidade eletiva,1,0.0
6ª Região - PB,07,Evasão evitável,341,9.8
6ª Região - PB,07,Não classificado,66,1.9
6ª Região - PB,09,Não classificado,3,0.1
6ª Região - PB,10,Não classificado,2,0.1
