regiao,indice_dependencia_pct,prioritaria_apresentacao,volume_evadido_total,destino_principal,pct_para_destino_principal,especialidade_maior_excesso_nome,especialidade_maior_excesso_n,especialidade_maior_excesso_taxa_evasao_pct,especialidade_maior_excesso_pp,pct_Referência legítima,pct_Alta complexidade eletiva,pct_Urgência cirúrgica sem retaguarda,pct_Demanda represada,pct_Evasão evitável,pct_Não classificado,tipo_evasao_dominante,pct_tipo_dominante_do_evadido_regiao,pct_eletiva_tipo_dominante,pct_uti_tipo_dominante,permanencia_media_tipo_dominante,taxa_obito_pct_tipo_dominante,acao_recomendada
3ª Região - PB,84.5,True,9143,16ª Região - PB,83.6,Cirúrgico,3785,95.3,10.8,2.1,5.9,14.5,15.8,45.9,15.8,Evasão evitável,45.9,2.9,0.0,4.7,4.0,"Capacidade local: equipe, plantão, leitos"
12ª Região - PB,71.8,True,7479,1ª Região Mata Atlântica - PB,69.0,Pediátrico,1029,87.8,16.0,2.8,7.6,13.5,18.6,44.6,12.9,Evasão evitável,44.6,2.3,0.0,5.2,4.0,"Capacidade local: equipe, plantão, leitos"
15ª Região - PB,71.6,True,6826,16ª Região - PB,89.6,Cirúrgico,3324,95.5,23.9,1.9,7.6,13.6,22.1,38.8,15.9,Evasão evitável,38.8,2.7,0.0,4.9,5.0,"Capacidade local: equipe, plantão, leitos"
7ª Região - PB,56.4,True,5029,6ª Região - PB,36.1,Cirúrgico,2879,90.5,34.1,3.1,10.3,14.5,22.5,37.7,12.0,Evasão evitável,37.7,3.7,0.0,4.9,4.1,"Capacidade local: equipe, plantão, leitos"
11ª Região - PB,54.4,True,2329,6ª Região - PB,58.3,Obstétrico,547,92.5,38.1,2.8,9.9,13.1,15.0,46.7,12.5,Evasão evitável,46.7,3.7,0.0,4.4,4.6,"Capacidade local: equipe, plantão, leitos"
2ª Região - PB,54.4,True,8986,1ª Região Mata Atlântica - PB,84.5,Pediátrico,1353,78.0,23.7,3.7,8.5,15.7,18.7,38.7,14.5,Evasão evitável,38.7,4.2,0.0,5.7,4.6,"Capacidade local: equipe, plantão, leitos"
4ª Região - PB,54.2,True,3837,16ª Região - PB,82.0,Pediátrico,705,67.1,12.9,1.7,9.9,16.1,17.4,41.1,13.8,Evasão evitável,41.1,6.2,0.0,4.3,3.2,"Capacidade local: equipe, plantão, leitos"
14ª Região - PB,52.0,True,5249,1ª Região Mata Atlântica - PB,92.3,Cirúrgico,3629,74.3,22.3,3.5,6.7,15.5,23.2,36.8,14.3,Evasão evitável,36.8,3.8,0.0,5.7,4.5,"Capacidade local: equipe, plantão, leitos"
5ª Região - PB,42.5,False,3592,16ª Região - PB,86.6,Cirúrgico,2796,68.2,25.7,3.2,12.4,18.7,16.9,31.5,17.3,Evasão evitável,31.5,2.1,0.0,5.3,5.3,"Capacidade local: equipe, plantão, leitos"
13ª Região - PB,34.5,False,1475,6ª Região - PB,50.7,Pediátrico,383,48.3,13.8,8.1,17.2,5.2,17.0,37.8,14.6,Evasão evitável,37.8,1.6,0.0,4.8,2.7,"Capacidade local: equipe, plantão, leitos"
8ª Região - PB,33.5,False,2544,6ª Região - PB,36.6,Cirúrgico,2759,50.0,16.5,7.3,18.4,10.4,16.3,33.2,14.5,Evasão evitável,33.2,5.1,0.0,5.6,5.1,"Capacidade local: equipe, plantão, leitos"
6ª Região - PB,24.3,False,3474,16ª Região - PB,46.9,Cirúrgico,5385,36.1,11.8,4.8,12.0,6.1,31.9,27.9,17.2,Demanda represada,31.9,100.0,2.8,2.2,0.5,Mutirão / ampliar agenda cirúrgica local
10ª Região - PB,22.5,False,1592,1ª Região Mata Atlântica - PB,35.2,Cirúrgico,2518,38.7,16.2,8.5,24.4,4.6,21.7,25.6,15.3,Evasão evitável,25.6,17.2,0.0,5.8,5.4,"Capacidade local: equipe, plantão, leitos"
9ª Região - PB,21.6,False,2892,1ª Região Mata Atlântica - PB,40.6,Cirúrgico,4518,32.7,11.1,9.2,18.0,4.3,17.9,31.9,18.7,Evasão evitável,31.9,10.4,0.0,5.6,4.4,"Capacidade local: equipe, plantão, leitos"
16ª Região - PB,4.1,False,1753,1ª Região Mata Atlântica - PB,51.3,Obstétrico,5054,6.5,2.3,8.3,10.1,3.5,17.3,46.8,14.0,Evasão evitável,46.8,4.6,0.0,4.4,4.8,"Capacidade local: equipe, plantão, leitos"
1ª Região Mata Atlântica - PB,1.8,False,1433,14ª Região - PB,42.2,Cirúrgico,31331,3.0,1.2,0.1,5.7,10.0,48.7,28.2,7.4,Demanda represada,48.7,100.0,0.0,1.5,0.0,Mutirão / ampliar agenda cirúrgica local
